"2016
rank","City","State[5]","2016
estimate","2010
Census","Change","2014 land area","2014 land area","2010 population density","2010 population density","Location"
1,"New York[6]","New York","8,537,673","8,175,133","7000443466791304800<U+2660>+4.43%","302.6 sq mi","783.7 km2","27,012/sq mi","10,429/km2","40°39'51<U+2033>N 73°56'19<U+2033>W<U+FEFF> / <U+FEFF>40.6643°N 73.9385°W<U+FEFF> / 40.6643; -73.9385<U+FEFF> (1 New York City)"
2,"Los Angeles","California","3,976,322","3,792,621","7000484364243092050<U+2660>+4.84%","468.7 sq mi","1,213.9 km2","8,092/sq mi","3,124/km2","34°01'10<U+2033>N 118°24'39<U+2033>W<U+FEFF> / <U+FEFF>34.0194°N 118.4108°W<U+FEFF> / 34.0194; -118.4108<U+FEFF> (2 Los Angeles)"
3,"Chicago","Illinois","2,704,958","2,695,598","6999347232784710470<U+2660>+0.35%","227.6 sq mi","589.5 km2","11,842/sq mi","4,572/km2","41°50'15<U+2033>N 87°40'54<U+2033>W<U+FEFF> / <U+FEFF>41.8376°N 87.6818°W<U+FEFF> / 41.8376; -87.6818<U+FEFF> (3 Chicago)"
4,"Houston[7]","Texas","2,303,482","2,100,263","7000967588344888229<U+2660>+9.68%","599.6 sq mi","1,553.0 km2","3,501/sq mi","1,352/km2","29°46'50<U+2033>N 95°23'11<U+2033>W<U+FEFF> / <U+FEFF>29.7805°N 95.3863°W<U+FEFF> / 29.7805; -95.3863<U+FEFF> (4 Houston)"
5,"Phoenix","Arizona","1,615,017","1,445,632","7001117170206525590<U+2660>+11.72%","516.7 sq mi","1,338.2 km2","2,798/sq mi","1,080/km2","33°34'20<U+2033>N 112°05'17<U+2033>W<U+FEFF> / <U+FEFF>33.5722°N 112.0880°W<U+FEFF> / 33.5722; -112.0880<U+FEFF> (6 Phoenix)"
6,"Philadelphia[8]","Pennsylvania","1,567,872","1,526,006","7000274350166382040<U+2660>+2.74%","134.1 sq mi","347.3 km2","11,379/sq mi","4,393/km2","40°00'34<U+2033>N 75°08'00<U+2033>W<U+FEFF> / <U+FEFF>40.0094°N 75.1333°W<U+FEFF> / 40.0094; -75.1333<U+FEFF> (5 Philadelphia)"
7,"San Antonio","Texas","1,492,510","1,327,407","7001124380088397910<U+2660>+12.44%","460.9 sq mi","1,193.7 km2","2,880/sq mi","1,110/km2","29°28'21<U+2033>N 98°31'30<U+2033>W<U+FEFF> / <U+FEFF>29.4724°N 98.5251°W<U+FEFF> / 29.4724; -98.5251<U+FEFF> (7 San Antonio)"
8,"San Diego","California","1,406,630","1,307,402","7000758970844468650<U+2660>+7.59%","325.2 sq mi","842.3 km2","4,020/sq mi","1,550/km2","32°48'55<U+2033>N 117°08'06<U+2033>W<U+FEFF> / <U+FEFF>32.8153°N 117.1350°W<U+FEFF> / 32.8153; -117.1350<U+FEFF> (8 San Diego)"
9,"Dallas","Texas","1,317,929","1,197,816","7001100276670206440<U+2660>+10.03%","340.5 sq mi","881.9 km2","3,518/sq mi","1,358/km2","32°46'33<U+2033>N 96°47'48<U+2033>W<U+FEFF> / <U+FEFF>32.7757°N 96.7967°W<U+FEFF> / 32.7757; -96.7967<U+FEFF> (9 Dallas)"
10,"San Jose","California","1,025,350","945,942","7000839459501745350<U+2660>+8.39%","176.6 sq mi","457.4 km2","5,359/sq mi","2,069/km2","37°17'49<U+2033>N 121°49'09<U+2033>W<U+FEFF> / <U+FEFF>37.2969°N 121.8193°W<U+FEFF> / 37.2969; -121.8193<U+FEFF> (10 San Jose)"
11,"Austin","Texas","947,890","790,390","7001199268715444270<U+2660>+19.93%","322.48 sq mi","835.2 km2","2,653/sq mi","1,024/km2","30°18'26<U+2033>N 97°45'22<U+2033>W<U+FEFF> / <U+FEFF>30.3072°N 97.7560°W<U+FEFF> / 30.3072; -97.7560<U+FEFF> (11 Austin)"
12,"Jacksonville[9]","Florida","880,619","821,784","7000715942388754220<U+2660>+7.16%","747.0 sq mi","1,934.7 km2","1,120/sq mi","430/km2","30°20'13<U+2033>N 81°39'41<U+2033>W<U+FEFF> / <U+FEFF>30.3370°N 81.6613°W<U+FEFF> / 30.3370; -81.6613<U+FEFF> (12 Jacksonville)"
13,"San Francisco[10]","California","870,887","805,235","7000815314783882970<U+2660>+8.15%","46.9 sq mi","121.5 km2","17,179/sq mi","6,633/km2","37°46'30<U+2033>N 122°25'09<U+2033>W<U+FEFF> / <U+FEFF>37.7751°N 122.4193°W<U+FEFF> / 37.7751; -122.4193<U+FEFF> (13 San Francisco)"
14,"Columbus","Ohio","860,090","787,033","7000928258408478419<U+2660>+9.28%","217.2 sq mi","562.5 km2","3,624/sq mi","1,399/km2","39°59'05<U+2033>N 82°59'06<U+2033>W<U+FEFF> / <U+FEFF>39.9848°N 82.9850°W<U+FEFF> / 39.9848; -82.9850<U+FEFF> (15 Columbus)"
