"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:","Codes:","ISO","ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)","ANSI","2-letter and 2-digit codes from the ANSI standard INCITS 38:2009","USPS","2-letter codes used by the United States Postal Service","USCG","2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)","Abbreviations:","Abbreviations:","GPO","Older variable-length official US Government Printing Office abbreviations","AP","Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)"
"Codes:","Codes:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISO","ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANSI","2-letter and 2-digit codes from the ANSI standard INCITS 38:2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USPS","2-letter codes used by the United States Postal Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USCG","2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviations:","Abbreviations:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GPO","Older variable-length official US Government Printing Office abbreviations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Name and status of region","Name and status of region","ISO","ANSI","ANSI","USPS","USCG","GPO","AP","Other
abbreviations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
